,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
309,Rockhampton,-23.3833,150.5,69.69,32,1,14.97,AU,clear sky,1626836725
310,Hirara,24.8,125.2833,80.46,100,75,34.52,JP,heavy intensity shower rain,1626836725
311,Alekseyevsk,57.8406,108.3492,80.78,36,57,4.12,RU,broken clouds,1626836725
312,Cabadiangan,9.7531,122.4739,84.7,75,100,17.49,PH,overcast clouds,1626836726
313,Hambantota,6.1241,81.1185,84.54,74,20,13.8,LK,few clouds,1626836726
314,Wajima,37.4,136.9,83.57,72,4,10.49,JP,clear sky,1626836726
315,Singaraja,-8.112,115.0882,84.16,62,74,2.3,ID,broken clouds,1626836727
316,Qasigiannguit,68.8193,-51.1922,44.85,80,98,2.35,GL,overcast clouds,1626836727
317,Shimoda,34.6667,138.95,88.11,67,9,8.16,JP,clear sky,1626836727
318,Toritama,-8.0067,-36.0567,64.38,97,3,4.76,BR,clear sky,1626836728
319,Lagoa,39.05,-27.9833,67.46,79,5,19.95,PT,clear sky,1626836728
320,Jacareacanga,-6.2222,-57.7528,77.0,49,31,1.95,BR,scattered clouds,1626836728
321,Turukhansk,65.8167,87.9833,63.46,53,9,2.91,RU,clear sky,1626836729
322,Sungai Raya,0.7,108.9,86.16,68,96,9.46,ID,overcast clouds,1626836729
323,Yazoo City,32.8551,-90.4056,77.7,95,93,4.36,US,overcast clouds,1626836729
324,Majene,-3.5403,118.9707,78.89,84,100,8.75,ID,overcast clouds,1626836730
325,Botou,38.0667,116.5667,74.37,92,100,6.15,CN,moderate rain,1626836700
326,Basco,20.4487,121.9702,82.65,78,55,17.43,PH,broken clouds,1626836730
327,Rengo,-34.4167,-70.8667,45.43,43,68,3.15,CL,broken clouds,1626836730
328,Fougamou,-1.2154,10.5838,69.22,91,20,1.36,GA,few clouds,1626836731
329,Tulsīpur,28.131,82.2973,81.05,79,99,3.6,NP,overcast clouds,1626836731
330,Dezful,32.3811,48.4058,98.2,42,0,4.65,IR,clear sky,1626836731
331,Deputatsky,69.3,139.9,58.93,56,80,10.76,RU,broken clouds,1626836732
332,Puerto Escondido,15.85,-97.0667,80.29,81,100,4.41,MX,overcast clouds,1626836732
333,Prince Rupert,54.3161,-130.3201,60.89,77,75,5.75,CA,light rain,1626836732
334,Oussouye,12.485,-16.5469,80.04,83,97,6.22,SN,overcast clouds,1626836733
335,Ostrovnoy,68.0531,39.5131,45.97,77,94,15.35,RU,overcast clouds,1626836733
336,Lensk,60.7253,114.9278,75.25,46,92,4.7,RU,overcast clouds,1626836733
337,Berlevåg,70.8578,29.0864,44.6,93,100,23.47,NO,light rain,1626836734
338,Hermagor,46.6272,13.3672,60.42,94,0,3.78,AT,clear sky,1626836734
339,Luena,-11.7833,19.9167,50.34,48,87,4.12,AO,overcast clouds,1626836734
340,Kortkeros,61.8106,51.5806,55.4,50,6,4.12,RU,clear sky,1626836735
341,Djibouti,11.5,42.5,85.42,71,99,21.94,DJ,light rain,1626836735
342,Port Hardy,50.6996,-127.4199,58.48,82,55,8.55,CA,light rain,1626836735
343,Khani,41.9563,42.9566,71.17,64,58,1.52,GE,broken clouds,1626836736
344,Calabozo,8.9242,-67.4293,73.89,94,94,5.73,VE,overcast clouds,1626836736
345,Buin,-33.7333,-70.75,64.74,21,45,3.8,CL,scattered clouds,1626836736
346,Necochea,-38.5473,-58.7368,47.32,85,1,4.59,AR,clear sky,1626836737
347,Punta Alta,-38.8759,-62.0736,50.47,59,57,7.99,AR,broken clouds,1626836737
348,Peddāpuram,17.0833,82.1333,80.69,88,100,12.28,IN,light rain,1626836737
349,Shingū,33.7333,135.9833,82.9,68,90,9.04,JP,overcast clouds,1626836737
350,Nur-Sultan,51.1801,71.446,67.95,64,0,11.18,KZ,clear sky,1626836738
351,Phan Thiet,10.9333,108.1,87.93,60,90,15.46,VN,overcast clouds,1626836574
352,Komatipoort,-25.4332,31.9548,52.05,43,0,4.16,ZA,clear sky,1626836738
353,Pidhaytsi,49.2685,25.1334,61.03,97,100,10.47,UA,overcast clouds,1626836739
354,Abomey,7.1829,1.9912,70.84,90,74,6.96,BJ,broken clouds,1626836739
355,Buraidah,26.326,43.975,87.96,14,93,9.53,SA,overcast clouds,1626836739
356,Sitka,57.0531,-135.33,60.69,72,75,11.5,US,broken clouds,1626836739
357,Tuktoyaktuk,69.4541,-133.0374,80.6,39,1,17.27,CA,clear sky,1626836397
358,Guerrero Negro,27.9769,-114.0611,69.87,82,2,18.54,MX,clear sky,1626836740
359,Sarandi,-23.4436,-51.8739,48.25,51,100,3.8,BR,overcast clouds,1626836681
360,Belleville,44.1788,-77.3705,65.71,87,83,11.32,CA,broken clouds,1626836740
361,Slyudyanka,51.6594,103.7061,64.38,79,100,3.38,RU,light rain,1626836741
362,Kryve Ozero,47.9524,30.3493,64.78,97,53,6.73,UA,broken clouds,1626836741
363,Ixtapa,20.7,-105.2,79.18,94,99,0.49,MX,overcast clouds,1626836741
364,Inuvik,68.3499,-133.7218,81.88,33,8,10.47,CA,clear sky,1626836652
365,Santa Cruz del Sur,20.7147,-77.9956,81.43,80,52,4.52,CU,broken clouds,1626836742
366,Badarganj,25.674,89.0549,86.86,74,93,9.04,BD,overcast clouds,1626836742
367,Gambēla,8.25,34.5833,68.7,89,100,2.39,ET,overcast clouds,1626836742
368,Kamaishi,39.2667,141.8833,81.03,72,72,4.41,JP,broken clouds,1626836743
369,Batabanó,22.7164,-82.2881,82.72,78,99,5.75,CU,overcast clouds,1626836743
370,Esperance,-33.8667,121.9,58.93,86,98,17.72,AU,overcast clouds,1626836743
371,Salinas,36.6777,-121.6555,77.81,76,75,5.75,US,broken clouds,1626836744
372,Rocha,-34.4833,-54.3333,45.19,71,7,8.48,UY,clear sky,1626836468
373,De-Kastri,51.4667,140.7833,69.58,73,100,7.07,RU,overcast clouds,1626836744
374,Corinth,37.9407,22.9573,82.69,77,1,7.02,GR,clear sky,1626836744
375,Vanimo,-2.6741,141.3028,85.87,63,31,4.25,PG,scattered clouds,1626836475
376,Hobyo,5.3505,48.5268,75.97,83,12,20.18,SO,few clouds,1626836745
377,Dingle,10.9995,122.6711,86.38,67,100,16.53,PH,overcast clouds,1626836745
378,Inta,66.0317,60.1659,60.31,58,38,1.95,RU,scattered clouds,1626836745
379,Chumikan,54.7183,135.315,78.69,63,32,17.43,RU,scattered clouds,1626836746
380,Natchitoches,31.7668,-93.1335,76.59,94,75,0.0,US,broken clouds,1626836746
381,Nyagan,62.1406,65.3936,62.83,94,100,4.38,RU,overcast clouds,1626836747
382,Huanan,46.2167,130.5167,86.31,64,28,3.49,CN,scattered clouds,1626836747
383,Koumac,-20.5667,164.2833,72.79,59,1,7.76,NC,clear sky,1626836748
384,Vilhena,-12.7406,-60.1458,64.13,53,2,2.37,BR,clear sky,1626836748
385,Waddān,29.1614,16.139,75.63,61,0,5.06,LY,clear sky,1626836749
386,Misratah,32.3754,15.0925,76.82,75,0,5.35,LY,clear sky,1626836749
387,Vershino-Darasunskiy,52.35,115.5167,62.85,78,100,2.73,RU,light rain,1626836749
388,Ucluelet,48.9329,-125.5528,68.04,81,1,1.01,CA,clear sky,1626836750
389,Pingliang,35.5392,106.6861,67.6,85,100,8.03,CN,overcast clouds,1626836750
390,Sinegor'ye,62.0788,150.477,83.34,34,71,2.55,RU,broken clouds,1626836751
391,Campbellton,48.0075,-66.6727,59.47,95,57,1.21,CA,broken clouds,1626836722
392,Dongsheng,39.8161,109.9776,75.07,50,29,15.21,CN,scattered clouds,1626836751
393,Mahon,39.8885,4.2658,72.16,94,0,3.44,ES,clear sky,1626836751
394,Japura,-0.3167,102.35,86.61,61,92,4.99,ID,overcast clouds,1626836752
395,Alice Springs,-23.7,133.8833,69.35,28,0,5.75,AU,clear sky,1626836570
396,Eirunepé,-6.6603,-69.8736,69.04,70,3,2.75,BR,clear sky,1626836752
397,Sobolivka,49.336,28.651,62.08,97,100,9.48,UA,overcast clouds,1626836753
398,Ambunti,-4.2365,142.8448,91.29,54,45,2.21,PG,scattered clouds,1626836753
399,Atar,20.5169,-13.0499,90.34,13,4,9.89,MR,clear sky,1626836753
400,Tiarei,-17.5333,-149.3333,84.22,80,10,22.7,PF,clear sky,1626836754
401,Vila Franca do Campo,37.7167,-25.4333,68.41,90,13,10.78,PT,few clouds,1626836754
402,Padang,-0.9492,100.3543,86.05,68,99,2.15,ID,overcast clouds,1626836754
403,Landeck,47.1301,10.5636,54.37,90,0,3.04,AT,clear sky,1626836755
404,Malanje,-9.5402,16.341,60.19,57,0,3.49,AO,clear sky,1626836755
405,Kaolack,14.1825,-16.2533,82.08,74,100,8.99,SN,overcast clouds,1626836755
406,Norman Wells,65.282,-126.8329,80.49,38,59,9.75,CA,broken clouds,1626836756
407,Sieradz,51.5958,18.7302,56.71,89,40,7.45,PL,scattered clouds,1626836756
408,Bad Ems,50.3333,7.7167,61.11,94,0,2.15,DE,clear sky,1626836756
409,Sabang,5.8933,95.3214,82.81,77,100,25.66,ID,light rain,1626836757
410,Havre-St-Pierre,50.2334,-63.5986,56.53,88,87,5.3,CA,overcast clouds,1626836757
411,Palmer,42.1584,-72.3287,74.01,83,75,0.0,US,smoke,1626836757
412,Minbu,20.1833,94.8833,83.66,73,98,14.29,MM,overcast clouds,1626836758
413,Mezen',65.8522,44.24,51.62,89,53,6.44,RU,broken clouds,1626836758
414,Fukuechō,32.6881,128.8419,80.82,71,100,11.07,JP,overcast clouds,1626836758
415,Daşoguz,41.8363,59.9666,80.71,22,5,13.58,TM,clear sky,1626836759
416,Pisco,-13.7,-76.2167,62.65,82,90,0.0,PE,overcast clouds,1626836759
417,Uglovka,58.2392,33.5108,55.08,75,34,8.01,RU,scattered clouds,1626836759
418,Port Blair,11.6667,92.75,83.39,82,100,22.01,IN,light rain,1626836525
419,Oktyabr'skiy,54.4815,53.471,68.63,89,89,5.95,RU,overcast clouds,1626836760
420,Keetmanshoop,-26.5833,18.1333,35.94,78,0,5.77,NA,clear sky,1626836760
421,Cartagena del Chairá,1.3349,-74.8429,69.91,99,62,2.53,CO,broken clouds,1626836760
422,Fuerte Olimpo,-21.0415,-57.8738,54.43,27,95,4.7,PY,overcast clouds,1626836761
423,Moba,33.2288,105.0179,70.72,74,72,3.74,CN,broken clouds,1626836761
424,Montepuez,-13.1256,38.9997,61.68,94,2,3.89,MZ,clear sky,1626836761
425,Āgaro,7.85,36.65,59.74,98,100,2.1,ET,light rain,1626836762
426,Fort Nelson,58.8053,-122.7002,65.79,63,75,12.66,CA,light intensity shower rain,1626836762
427,Crotone,39.0851,17.1178,66.92,66,0,6.91,IT,clear sky,1626836762
428,Meadow Lake,34.8014,-106.5436,77.49,54,100,9.22,US,overcast clouds,1626836763
429,Petropavlovsk-Kamchatskiy,53.0452,158.6483,72.19,60,20,8.95,RU,few clouds,1626836763
430,Mil'kovo,54.7167,158.6167,75.83,54,70,4.05,RU,broken clouds,1626836764
431,Xining,36.6167,101.7667,75.24,44,96,4.63,CN,overcast clouds,1626836764
432,Tambun,-6.2641,107.0712,87.69,62,63,2.98,ID,broken clouds,1626836765
433,Mount Gambier,-37.8333,140.7667,50.92,81,97,6.73,AU,overcast clouds,1626836765
434,Agía Triáda,38.35,22.9167,75.42,73,0,3.31,GR,clear sky,1626836765
435,Peniche,39.3558,-9.3811,64.89,86,90,17.07,PT,overcast clouds,1626836766
436,Penukonda,14.0833,77.5833,73.6,78,100,19.13,IN,overcast clouds,1626836766
437,Bahawalpur,29.4,71.6833,89.55,63,1,4.9,PK,clear sky,1626836766
438,Bilibino,68.0546,166.4372,66.38,32,88,3.0,RU,overcast clouds,1626836767
439,Tessalit,20.1986,1.0114,90.63,32,43,13.58,ML,scattered clouds,1626836767
440,Hof,50.3167,11.9167,52.05,83,0,1.99,DE,clear sky,1626836767
441,Porto Velho,-8.7619,-63.9039,71.65,78,0,0.0,BR,clear sky,1626836768
442,Makiyivka,48.0478,37.9258,77.0,61,43,4.63,UA,scattered clouds,1626836768
443,Arlit,18.7369,7.3853,87.42,43,32,11.01,NE,scattered clouds,1626836768
444,NEDJO,9.5046,35.5019,56.25,99,100,1.77,ET,light rain,1626836769
445,Inhambane,-23.865,35.3833,66.13,89,0,7.16,MZ,clear sky,1626836769
446,Kansk,56.2017,95.7175,68.88,66,56,3.85,RU,broken clouds,1626836769
447,Te Anau,-45.4167,167.7167,46.9,90,100,2.57,NZ,light rain,1626836711
448,Laguna,38.421,-121.4238,91.45,40,1,5.01,US,clear sky,1626836695
449,Wilmington,34.2257,-77.9447,77.86,89,100,3.74,US,overcast clouds,1626836122
450,Nemuro,43.3236,145.575,62.2,91,91,6.44,JP,overcast clouds,1626836770
451,Fare,-16.7,-151.0167,78.75,76,4,22.39,PF,clear sky,1626836770
452,Hearst,49.6835,-83.6665,53.17,64,29,3.58,CA,scattered clouds,1626836771
453,Champerico,14.3,-91.9167,82.35,76,34,3.22,GT,scattered clouds,1626836771
454,Ahipara,-35.1667,173.1667,59.11,84,100,16.84,NZ,overcast clouds,1626836771
455,Ayagoz,47.9714,80.4392,74.52,48,71,15.68,KZ,broken clouds,1626836772
456,Calhoun,42.2506,-85.0005,71.69,63,90,4.61,US,overcast clouds,1626836772
457,Dzilam González,21.2833,-88.9333,76.87,91,45,5.95,MX,scattered clouds,1626836772
458,Synya,65.3718,58.0387,58.71,59,80,1.66,RU,broken clouds,1626836772
459,Kitaibaraki,36.7833,140.75,92.34,67,37,7.61,JP,scattered clouds,1626836773
460,Savé,8.0425,2.486,71.55,91,98,4.59,BJ,overcast clouds,1626836773
461,Henties Bay,-22.116,14.2845,54.86,90,1,5.41,NA,clear sky,1626836774
462,Broome,42.2506,-75.833,67.46,89,90,1.01,US,light rain,1626836774
463,Córdoba,-31.4135,-64.1811,61.23,46,0,6.22,AR,clear sky,1626836530
464,Zhangye,38.9342,100.4517,77.76,38,75,6.89,CN,broken clouds,1626836774
465,Sisimiut,66.9395,-53.6735,44.38,86,98,4.61,GL,overcast clouds,1626836775
466,Wellington,-41.2866,174.7756,57.65,79,75,3.0,NZ,broken clouds,1626836775
467,Lorengau,-2.0226,147.2712,83.97,70,70,4.29,PG,broken clouds,1626836775
468,Tak,16.5833,98.8333,70.99,93,100,3.42,TH,overcast clouds,1626836776
469,Kawalu,-7.3817,108.2082,81.14,72,50,4.0,ID,scattered clouds,1626836776
470,Pirassununga,-21.9961,-47.4258,50.7,43,99,3.56,BR,overcast clouds,1626836776
471,Calderitas,18.55,-88.25,79.95,86,0,10.02,MX,clear sky,1626836777
472,Mocuba,-16.8392,36.9856,61.41,97,1,2.55,MZ,clear sky,1626836777
473,Talnakh,69.4865,88.3972,59.97,57,0,2.77,RU,clear sky,1626836777
474,Kahului,20.8947,-156.47,84.22,63,40,25.32,US,scattered clouds,1626836778
475,Shenzhen,22.5455,114.0683,82.35,96,100,11.7,CN,light rain,1626836778
476,Russell,32.3502,-85.1999,75.51,91,90,0.0,US,overcast clouds,1626836778
477,Vitória,-20.3194,-40.3378,58.86,94,20,4.61,BR,few clouds,1626836778
478,Līsakovsk,52.5369,62.4936,73.06,53,98,7.76,KZ,overcast clouds,1626836543
479,Chicama,-7.8447,-79.1469,65.75,82,3,4.65,PE,clear sky,1626836779
480,Labuan,5.2767,115.2417,87.96,73,100,4.76,MY,overcast clouds,1626836779
481,Kachīry,53.0675,76.1036,70.09,57,0,7.56,KZ,clear sky,1626836780
482,Bowen,-20.0167,148.2333,73.45,32,29,4.43,AU,scattered clouds,1626836780
483,Agde,43.3108,3.4758,73.89,84,0,4.61,FR,clear sky,1626836780
484,Mēga,4.05,38.3,54.43,77,91,16.2,ET,overcast clouds,1626836781
485,Teya,60.3778,92.6267,66.94,56,94,7.09,RU,light rain,1626836781
486,Nur,52.6683,22.3221,56.79,90,65,6.64,PL,broken clouds,1626836781
487,Matara,5.9485,80.5353,81.84,79,100,14.5,LK,overcast clouds,1626836782
488,Nchelenge,-9.3451,28.734,58.96,57,0,5.93,ZM,clear sky,1626836782
489,Pontianak,-0.0333,109.3333,82.38,78,40,5.75,ID,moderate rain,1626836782
490,Kavieng,-2.5744,150.7967,84.76,66,97,3.62,PG,overcast clouds,1626836783
491,Carutapera,-1.195,-46.02,73.78,94,12,5.17,BR,few clouds,1626836783
492,Rāzole,16.4833,81.8333,80.89,88,100,12.26,IN,overcast clouds,1626836783
493,Nortelândia,-14.4547,-56.8028,63.57,32,2,1.32,BR,clear sky,1626836784
494,Huarmey,-10.0681,-78.1522,63.93,83,4,4.65,PE,clear sky,1626836784
495,Galesong,-5.3166,119.3661,82.42,83,99,2.62,ID,light rain,1626836784
496,Biltine,14.5333,20.9167,82.26,52,100,10.45,TD,overcast clouds,1626836785
497,Novosergiyevka,52.0934,53.6528,76.1,64,89,3.06,RU,overcast clouds,1626836785
498,Jardim,-21.4803,-56.1381,55.85,32,99,2.13,BR,overcast clouds,1626836543
499,Villa Bruzual,9.3328,-69.1208,71.98,95,97,1.92,VE,overcast clouds,1626836786
500,Chervishevo,56.9464,65.4278,70.09,63,28,9.4,RU,scattered clouds,1626836786
501,Biak,-0.9131,122.8766,79.14,79,100,5.06,ID,overcast clouds,1626836786
502,Khatanga,71.9667,102.5,58.03,80,100,13.6,RU,overcast clouds,1626836385
503,Geraldton,-28.7667,114.6,67.12,72,75,19.57,AU,broken clouds,1626836787
504,Kaduna,10.5222,7.4383,69.91,93,42,4.56,NG,scattered clouds,1626836787
505,Posse,-14.0931,-46.3694,67.59,43,1,5.3,BR,clear sky,1626836726
506,Bintulu,3.1667,113.0333,86.16,66,99,3.71,MY,overcast clouds,1626836787
507,Lesnoy,57.6198,63.0784,72.54,58,9,13.47,RU,clear sky,1626836788
508,Slatina,44.4333,24.3667,66.43,79,0,8.75,RO,clear sky,1626836788
509,Lavrentiya,65.5833,-171.0,43.38,91,100,7.36,RU,moderate rain,1626836390
510,City of San Pedro,14.35,121.0167,82.02,83,100,15.68,PH,heavy intensity rain,1626836555
511,Batagay-Alyta,67.8006,130.4114,62.1,56,100,3.94,RU,overcast clouds,1626836789
512,Trelew,-43.249,-65.3051,49.12,55,9,7.81,AR,clear sky,1626836789
513,Sibut,5.718,19.0739,69.96,97,100,2.51,CF,overcast clouds,1626836790
514,Iquique,-20.2208,-70.1431,59.04,73,6,1.16,CL,clear sky,1626836360
515,San Fernando,15.0286,120.6898,84.54,77,100,9.4,PH,heavy intensity rain,1626836790
516,Jasper,37.2001,-94.3502,73.02,82,1,3.44,US,clear sky,1626836790
517,Pelym,61.0108,61.9978,62.89,97,100,4.21,RU,light rain,1626836791
518,Batemans Bay,-35.7167,150.1833,61.11,41,6,11.5,AU,clear sky,1626836791
519,Buala,-8.145,159.5921,80.58,82,100,7.67,SB,light rain,1626836791
520,Westport,41.1415,-73.3579,79.2,91,1,3.44,US,haze,1626836792
521,Port Hedland,-20.3167,118.5667,84.25,39,29,13.8,AU,scattered clouds,1626836792
522,Krasnoyarskiy,51.965,59.8967,71.31,52,52,9.95,RU,broken clouds,1626836792
523,Tshikapa,-6.4167,20.8,68.79,36,69,2.35,CD,broken clouds,1626836793
524,Maun,-19.9833,23.4167,48.45,42,0,5.06,BW,clear sky,1626836793
525,Celestún,20.8667,-90.4,81.14,80,16,11.79,MX,few clouds,1626836793
526,Sinnamary,5.3833,-52.95,78.01,85,24,5.1,GF,few clouds,1626836793
527,Arrondissement de Bar-le-Duc,48.75,5.1667,68.18,85,0,6.35,FR,clear sky,1626836794
528,Olenino,56.2092,33.4889,53.62,79,23,4.36,RU,few clouds,1626836794
529,Hanzhong,33.0728,107.0303,81.34,78,36,2.89,CN,light rain,1626836794
530,Rosário Oeste,-14.8361,-56.4275,64.83,25,4,3.15,BR,clear sky,1626836795
531,Djambala,-2.5447,14.7533,68.56,56,9,3.76,CG,clear sky,1626836535
532,Pālampur,32.1167,76.5333,75.16,82,16,4.25,IN,few clouds,1626836795
533,Salalah,17.0151,54.0924,78.89,89,90,9.22,OM,overcast clouds,1626836795
534,Esso,55.9333,158.7,70.77,55,96,8.5,RU,overcast clouds,1626836796
535,Wuzhou,23.4833,111.3167,75.69,94,100,8.32,CN,overcast clouds,1626836796
536,Rio Grande,-32.035,-52.0986,47.28,76,0,10.02,BR,clear sky,1626836797
537,Raudeberg,61.9875,5.1352,48.2,74,14,9.46,NO,few clouds,1626836797
538,The Valley,18.217,-63.0578,82.26,83,1,19.24,AI,clear sky,1626836797
539,Taoudenni,22.6783,-3.9836,103.87,11,88,2.37,ML,overcast clouds,1626836797
540,Yicheng,31.3705,119.8703,85.84,66,82,13.13,CN,broken clouds,1626836798
541,Naze,28.3667,129.4833,77.07,90,100,33.4,JP,heavy intensity rain,1626836649
542,Vostok,46.4856,135.8833,84.42,58,90,3.06,RU,light rain,1626836798
543,Cortes,41.9395,-1.4396,75.25,71,13,6.46,ES,few clouds,1626836799
544,Otukpo,7.1913,8.1329,70.77,98,88,4.54,NG,overcast clouds,1626836799
545,Sittwe,20.15,92.9,82.76,82,78,8.99,MM,broken clouds,1626836799
546,Westlock,54.1502,-113.8688,59.38,78,62,9.44,CA,broken clouds,1626836800
547,Darien,41.752,-87.974,72.57,78,20,3.0,US,few clouds,1626836800
548,Ukiah,39.1502,-123.2078,84.04,28,1,6.91,US,clear sky,1626836800
549,Boende,-0.2167,20.8667,71.85,69,74,2.3,CD,broken clouds,1626836800
550,San Quintín,30.4833,-115.95,70.5,82,23,11.01,MX,few clouds,1626836801
551,Huasahuasi,-11.3167,-75.6167,38.19,83,96,0.56,PE,overcast clouds,1626836801
552,San Rafael,-34.6177,-68.3301,53.08,20,19,3.02,AR,few clouds,1626836801
553,Slave Lake,55.2834,-114.769,68.16,70,35,4.29,CA,scattered clouds,1626836802
554,Sanchazi,42.0817,126.6003,85.59,51,29,3.85,CN,scattered clouds,1626836802
555,Snåase,64.2457,12.3778,48.79,98,100,6.82,NO,overcast clouds,1626836802
556,Umeå,63.8284,20.2597,50.92,71,0,9.22,SE,clear sky,1626836803
557,Kemerovo,55.3333,86.0833,71.29,64,0,8.95,RU,clear sky,1626836803
558,Manjacaze,-24.7117,33.8828,59.23,78,0,5.61,MZ,clear sky,1626836803
559,Waingapu,-9.6567,120.2641,86.13,54,95,15.46,ID,overcast clouds,1626836804
560,Bubaque,11.2833,-15.8333,81.23,80,100,15.08,GW,overcast clouds,1626836804
561,Muros,42.7762,-9.0603,65.08,86,33,5.73,ES,scattered clouds,1626836804
562,Port-Cartier,50.0334,-66.8654,58.75,60,100,8.12,CA,overcast clouds,1626836805
563,Clayton,33.5335,-84.3666,74.43,96,90,4.61,US,overcast clouds,1626836805
564,Aracruz,-19.8203,-40.2733,58.21,80,15,4.16,BR,few clouds,1626836805
565,Gunjur,13.2019,-16.7339,80.67,94,40,0.0,GM,scattered clouds,1626836806
566,Damaturu,11.747,11.9608,77.61,74,66,10.98,NG,broken clouds,1626836806
567,Yeppoon,-23.1333,150.7333,69.58,36,0,14.43,AU,clear sky,1626836806
568,Saint George,37.1041,-113.5841,91.99,35,1,27.63,US,clear sky,1626836144
569,Santa Clara,22.4,-79.9667,74.17,94,75,9.22,CU,broken clouds,1626836807
570,Camargo,27.6667,-105.1667,78.89,41,32,10.63,MX,scattered clouds,1626836807
571,Sterling,39.0062,-77.4286,80.89,76,1,3.0,US,clear sky,1626836807
572,Roald,62.5833,6.1333,49.33,76,20,2.3,NO,few clouds,1626836808
573,Buchanan,5.8808,-10.0467,76.08,81,100,6.06,LR,overcast clouds,1626836808
574,Grants Pass,42.439,-123.3284,83.71,48,1,5.01,US,clear sky,1626836640
575,Krasnosel'kup,65.7,82.4667,64.29,53,0,5.55,RU,clear sky,1626836808
576,Kysyl-Syr,63.8986,122.7617,68.83,73,81,2.28,RU,light rain,1626836809
577,Afşin,38.2477,36.914,69.31,39,0,1.66,TR,clear sky,1626836809
578,Cayenne,4.9333,-52.3333,81.09,84,0,1.99,GF,clear sky,1626836809
579,Arman',59.7,150.1667,63.3,71,71,8.03,RU,broken clouds,1626836810
580,Gramsh,40.8697,20.1844,69.06,81,0,4.41,AL,clear sky,1626836810
581,Hammerfest,70.6634,23.6821,45.05,87,75,18.41,NO,moderate rain,1626836810
582,Jiujiang,29.7333,115.9833,89.19,65,94,5.77,CN,overcast clouds,1626836811
583,Ouésso,1.6136,16.0517,75.78,71,100,1.36,CG,overcast clouds,1626836534
584,Aksu,41.1231,80.2644,79.11,38,100,6.4,CN,overcast clouds,1626836811
585,Basoko,1.2391,23.616,70.23,84,57,2.01,CD,broken clouds,1626836811
586,Plérin,48.5425,-2.7798,66.74,90,0,1.01,FR,clear sky,1626836812
587,Krasnoarmeysk,51.0239,45.6969,71.24,71,27,5.5,RU,scattered clouds,1626836812
588,Bandarbeyla,9.4942,50.8122,77.99,67,81,24.38,SO,broken clouds,1626836812
589,Yerbogachën,61.2767,108.0108,70.63,60,91,5.53,RU,overcast clouds,1626836813
590,Mwinilunga,-11.7358,24.4293,51.48,55,1,3.85,ZM,clear sky,1626836813
591,Lagos,6.5833,3.75,75.38,87,95,7.05,NG,overcast clouds,1626836648
592,Verāval,20.9,70.3667,83.46,82,97,23.91,IN,overcast clouds,1626836813
593,Valparaíso,-33.0393,-71.6273,53.47,85,20,3.44,CL,few clouds,1626836814
594,Mhango,-3.2833,32.85,62.92,54,10,6.49,TZ,clear sky,1626836814
595,Azul,-36.777,-59.8585,46.49,62,100,4.83,AR,overcast clouds,1626836814
596,Sucúa,-2.4667,-78.1667,65.37,97,100,2.13,EC,overcast clouds,1626836815
597,Mittagong,-34.45,150.45,52.0,40,36,9.53,AU,scattered clouds,1626836626
598,Medvezh'yegorsk,62.9167,34.4667,51.82,68,11,6.8,RU,few clouds,1626836815
599,Nuuk,64.1835,-51.7216,47.88,76,75,6.91,GL,broken clouds,1626836691
600,Saldanha,-33.0117,17.9442,54.09,60,86,12.46,ZA,overcast clouds,1626836816
601,Kushmurun,52.4503,64.6311,73.26,53,15,4.45,KZ,few clouds,1626836532
602,Coahuayana Viejo,18.7333,-103.6833,78.87,88,45,1.25,MX,scattered clouds,1626836816
603,Ban Nahin,18.2418,104.2122,75.81,98,100,2.64,LA,overcast clouds,1626836816
604,Mlonggo,-6.5333,110.7,87.1,53,47,0.56,ID,scattered clouds,1626836817
605,Eydhafushi,5.1033,73.0708,83.12,74,100,13.04,MV,overcast clouds,1626836817
606,Negombo,7.2083,79.8358,84.25,74,20,6.91,LK,few clouds,1626836817
607,Chunoyar,57.4467,97.3217,70.03,65,100,0.49,RU,light rain,1626836818
608,Departamento de Maldonado,-34.6667,-54.9167,51.22,72,18,11.39,UY,few clouds,1626836818
609,Teodoro Sampaio,-22.5325,-52.1675,50.86,46,97,4.47,BR,overcast clouds,1626836818
610,Muravlenko,63.7898,74.523,68.99,66,96,15.21,RU,overcast clouds,1626836819
611,Orange,33.7,-117.7675,91.17,65,1,1.01,US,clear sky,1626836819
612,Bonavista,48.6499,-53.1147,59.88,99,100,14.94,CA,light rain,1626836819
613,Dunkirk,51.05,2.3667,62.76,85,1,6.96,FR,clear sky,1626836820
614,Gori,41.9842,44.1158,75.99,45,61,4.45,GE,broken clouds,1626836820
615,Qingdao,36.0986,120.3719,81.75,73,93,8.7,CN,overcast clouds,1626836602
616,Uralets,57.6614,59.6497,65.28,91,100,8.48,RU,overcast clouds,1626836820
617,Siderno,38.2779,16.302,77.0,77,0,9.46,IT,clear sky,1626836821
618,Grindavik,63.8424,-22.4338,51.57,100,90,16.11,IS,light intensity drizzle,1626836821
619,Kobeřice,49.9855,18.0521,57.0,94,77,2.95,CZ,broken clouds,1626836821
620,‘Āhuimanu,21.4447,-157.8378,83.91,66,75,16.11,US,light rain,1626836822
